id,name,description,financial,romantic,power,mysticism,agility
0,Batu Bata Merah (Red Brick),A silent brick that stays in the corner of a wall protecting your stability.,Locked in a wall. No active income streams but extremely solid and immune to inflation.,Zero chemistry. You are as stiff as a brick but highly loyal.,80,10,5
1,Cosmic Rice Cooker,A kitchen appliance that cooks rice and keeps it warm forever.,Steady warmth. Small bills but your basic needs are always covered.,Always warm and comforting. A bit sticky but loved by everyone.,60,30,40
2,Sendal Swallow Slipper,A legendary local rubber slipper known for its extreme durability.,Highly economical. You spend very little and walk a long path.,Prone to being lost at the mosque. Keep a close eye on your partner.,40,25,90
3,Sapu Lidi (Broom),A bundle of coconut palm sticks used for spiritual and physical cleansing.,Combined strength bring results. Group projects are highly lucrative.,A bit scratchy at first. Needs bundling to stay effective.,50,60,75
4,Gorengan Dingin (Cold Fritter),A deep-fried snack that has lost its heat and crispness.,Low liquidity. Hard to sell. Keep it fresh to attract buyers.,Cold and oily. Needs reheating with some romantic sparks.,30,10,30
5,Kopi Sachet (Sachet Coffee),A quick energy booster for late-night developers and workers.,Cheap and fast cash flow. High volume but low margins.,Sweet and instant but short-lived. Pace yourself for long-term love.,45,40,85
6,Token Listrik (Electricity Token),A digital meter that beeps rapidly when funds are low.,Constant reminders to work. High motivation when balance reaches critical levels.,Beeps when neglected. Needs constant token top-ups of affection.,70,50,60
7,Helm Gojek (Gojek Helmet),A protective green helmet representing active transport and service.,Always on the move. Tips are frequent if service quality stays high.,Always carrying others. Make sure you get some passenger love too.,65,20,90
8,Kipas Angin (Electric Fan),A rotating machine that blows cool air but gets dusty quickly.,Blowing hot and cold air. Good seasons followed by slow months.,Spins in circles. Stop repeating the same dating cycles.,50,15,80
9,Ember Plastik (Plastic Bucket),A sturdy plastic container holding your domestic water supply.,Solid container. You hold on to savings well but watch out for cracks.,Deep emotional capacity. Can hold a lot of dramatic feelings.,55,30,50
10,Wajan Anti Lengket,A non-stick wok that lets everything slide off easily.,Problems slide off you. No debts will stick to your financial name.,Nothing sticks. Hard to get committed. Let someone get close.,60,20,70
11,Indomie Goreng,The legendary instant noodle representing late-night comfort.,Extremely cheap cost of living. Highly efficient cash management.,Instant attraction! Quick and comforting but add some nutrition.,85,30,95
12,Nasi Bungkus (Wrapped Rice),A pack of rice wrapped in banana leaves with hidden side dishes.,Hidden surprises. A small package containing unexpected rich values.,Simple packaging but rich inside. Genuine hearts are found here.,70,40,50
13,Bakso Bulat (Round Meatball),A bouncing meatball that rolls away when you try to fork it.,Hard to pin down. Money bounces around. Keep a firm grip.,Rolls away easily. Don't play hard to get for too long.,65,25,80
14,Kunci Inggris (Monkey Wrench),An adjustable metal tool that fits any size bolt.,Highly versatile. You adapt to any job profile to earn cash.,Adjustable expectations. You fit with almost any personality.,70,30,65
15,Charger Rusak (Broken Charger),A cable that only charges your phone at a specific bent angle.,Extremely unstable income. Requires specific positioning to work.,Low connection. Requires constant adjustment to stay connected.,20,80,40
16,Setrika Panas (Hot Iron),A heavy appliance that smooths wrinkles but burns if neglected.,Pressing issues build pressure. Smooth out conflicts for success.,Very hot temper. Smooth out relationships but avoid burning.,75,10,45
17,Botol Tupperware,A premium plastic bottle that must never be lost at school.,Extremely valuable asset. Your mother will guard your finances.,High standards. Losing this partner will result in massive trouble.,90,30,60
18,Sapu Terbang (Flying Broom),A mystical cleaning tool that carries you through the clouds.,High mobility. Sky-high ideas but make sure you land safely.,A bit unstable. Hang on tight to avoid falling off.,50,90,85
19,Sambal Terasi,A fiery shrimp paste chili that adds explosive flavor to rice.,Spicy returns! High risk high return investments pay off.,Fiery and passionate. Not everyone can handle your spice.,80,70,50
20,Krupuk Kaleng,A crispy white cracker stored in a large blue tin container.,Crispy and light. Easy to break. Don't let your savings crumble.,Loud crunch. You talk a lot but make sure there is substance inside.,40,20,60
21,Martabak Manis,A thick sweet pancake loaded with chocolate and cheese.,Rich and heavy. High caloric cash. Good for weekend splurges.,Sweet and comforting. Everyone loves having you around.,75,20,50
22,Tahu Bulat (Round Tofu),A fried tofu ball that is fried dadakan (on the spot) for 500.,Fast cash. High speed transactions. Move quickly to profit.,Dadakan (Sudden) love. Exciting starts but ensure it cooks through.,50,40,90
23,Odong-odong Carousel,A colorful mini carousel playing repetitive children's music.,Slow and circular. Reliable small coins but no fast progress.,Repetitive tracks. Time to change the romantic tune.,55,30,70
24,Es Cendol (Cendol Ice),A sweet cooling beverage with green jelly drops.,Cool and refreshing. Small pleasant gains refresh your business.,Sweet and soothing. You bring joy and calm to stressful dates.,50,30,85
25,Durian Kupas (Peeled Durian),A strong-smelling fruit with a creamy rich taste inside.,Strong presence. Polarizing assets. High value to true fans.,Thorny exterior but extremely sweet inside. Hard to open.,85,60,40
26,Dispenser Air,A water machine providing hot and cold options instantly.,Dual income streams. Hot and cold assets balance your sheets.,Hot and cold behavior. Stop sending mixed signals.,60,20,60
27,Colokan T (T-Plug),A plastic adapter connecting three plugs to a single socket.,Multiple connections. Great networking skills bring wealth.,Too many plugs. Don't try to date three people at once.,55,20,75
28,Gayung Bolong (Leaky Scoop),A plastic water scoop with a small hole in the bottom.,Constant small leaks. Check your subscription bills to save.,Leaking emotions. You let your feelings drain away too fast.,30,30,70
29,Centong Nasi (Rice Paddle),A plastic paddle used to scoop rice from the cooker.,You distribute resources well. Essential asset for food safety.,Highly nurturing. You serve others but don't forget yourself.,60,40,60
30,Keset Welcome (Welcome Mat),A fibers mat sitting at the door reading 'WELCOME'.,People walk over you. Stand up for your financial rights.,Don't let partners walk all over you. Demand respect.,40,10,50
31,Kasur Busa (Foam Mattress),A soft mattress that retains your body shape for comfort.,Comfortable comfort zone. High risk of oversleeping on savings.,Very cozy and soft. A highly relaxed and lazy partner.,50,20,40
32,Sapu Nilon (Nylon Broom),A modern synthetic broom that sweeps dust efficiently.,Clean sweeps. Clear out useless expenses to optimize budgets.,Clean relationships. No room for dusty old exes in your life.,50,25,80
33,Ember Bocor (Leaky Bucket),A bucket that loses water slowly over time.,Major cash drain. Stop spending money on unnecessary upgrades.,Leaking promises. Fix the gaps before you try to hold love.,30,30,55
34,Jemuran Baju (Clothes Rack),A metal rack standing in the sun holding wet clothes.,Highly exposed to weather. Diversify to protect your income.,Hang in there. Patience is required during dry seasons.,50,15,60
35,Rak Sepatu (Shoe Rack),A tiered holder organizing various footwear styles.,Structured assets. Organizing brings clarity and saving paths.,Organized dating. You keep your choices neatly arranged.,55,20,65
36,Payung Teduh (Shady Umbrella),A folding canopy protecting you from rain and sun.,Protective savings. Good cover for rainy days in business.,A safe shelter. You comfort partners during emotional storms.,60,50,60
37,Gunting Kuku (Nail Clipper),A tiny metal clipper used to trim sharp edges.,Trim down excess. Small precise budget cuts yield savings.,Trim off sharp edges. Don't be too sharp during arguments.,50,30,75
38,Sisir Patah (Broken Comb),A plastic comb with missing teeth.,Rough outputs. Needs replacement to style your career path.,A bit rough. Smooth out your dating communication style.,30,20,65
39,Cermin Retak (Cracked Mirror),A mirror showing fragmented reflections of reality.,Fragmented vision. Fix your goals to see clear wealth paths.,Broken trust is hard to reflect. Work on self-reflection.,45,70,50
40,Bedak Dingin (Cooling Powder),A traditional face powder paste that cools your skin.,Calm assets. Low risk low returns bring peaceful sleep.,Cooling influence. You soothe tense situations with ease.,50,55,50
41,Minyak Kayu Putih,A strong herbal oil used to warm wind-blown bodies.,Warm relief. Simple solutions resolve complex financial pains.,Warm and healing. Smells like a grandparent but comforting.,60,65,70
42,Tolak Angin (Herbal Remedy),A sachet of herbal syrup that expels wind and fatigue.,Saves you from exhaustion. Essential backup for busy days.,Pint-sized healer. You fix relationships with warm care.,65,70,80
43,Sabun Batang (Bar Soap),A slippery block of soap used for bathing cleanliness.,Slippery transactions. Hard to grasp. Keep a firm grip.,Slippery connection. Hard to pin down for commitment.,45,25,85
44,Sikat Gigi (Toothbrush),A plastic brush used for daily oral hygiene maintenance.,Consistent small daily habits build clean wealth results.,Fresh breath. Keep your daily interactions clean and fresh.,50,20,75
45,Kemoceng Bulu,A feather duster that sweeps away light dust coatings.,Sweeping away light dust. Regular checkups maintain wealth.,Lighthearted flyer. You brush off conflicts easily.,50,40,85
46,Senter Redup (Dim Flashlight),A battery flashlight with fading low-light beams.,Low visibility. Invest in learning before making huge steps.,Fading connection. Time to recharge the romantic battery.,45,50,55
47,Guling Empuk (Soft Bolster),A cylindrical pillow designed for sleeping hugs.,Huggable returns. Low stress lifestyle keeps health high.,Extremely huggable. You are the ultimate comfort partner.,50,20,30
48,Sedotan Bambu (Bamboo Straw),An eco-friendly tube used to sip sweet beverages.,Eco-friendly choices. Sustainable saving paths bring long gains.,Natural and honest. Green flags all over your character.,55,40,75
49,Mangkok Ayam Jago,The legendary ceramic noodle bowl with a rooster print.,Classic utility. Reliable traditional earnings pay the bills.,A classic catch. Simple, traditional, and reliable love.,70,60,60
